Rate,Senders,Share
1,1,1.0
1,6,0.16666666666666666
1,11,0.09090909090909091
1,16,0.0625
1,21,0.047619047619047616
1,26,0.038461538461538464
1,31,0.03225806451612903
1,36,0.027777777777777776
1,41,0.024390243902439025
1,46,0.021739130434782608
11,1,11.0
11,6,1.8333333333333333
11,11,1.0
11,16,0.6875
11,21,0.5238095238095238
11,26,0.4230769230769231
11,31,0.3548387096774194
11,36,0.3055555555555556
11,41,0.2682926829268293
11,46,0.2391304347826087
21,1,21.0
21,6,3.5
21,11,1.9090909090909092
21,16,1.3125
21,21,1.0
21,26,0.8076923076923077
21,31,0.6774193548387096
21,36,0.5833333333333334
21,41,0.5121951219512195
21,46,0.45652173913043476
31,1,31.0
31,6,5.166666666666667
31,11,2.8181818181818183
31,16,1.9375
31,21,1.4761904761904763
31,26,1.1923076923076923
31,31,1.0
31,36,0.8611111111111112
31,41,0.7560975609756098
31,46,0.6739130434782609
41,1,41.0
41,6,6.833333333333333
41,11,3.727272727272727
41,16,2.5625
41,21,1.9523809523809523
41,26,1.5769230769230769
41,31,1.3225806451612903
41,36,1.1388888888888888
41,41,1.0
41,46,0.8913043478260869
51,1,51.0
51,6,8.5
51,11,4.636363636363637
51,16,3.1875
51,21,2.4285714285714284
51,26,1.9615384615384615
51,31,1.6451612903225807
51,36,1.4166666666666667
51,41,1.2439024390243902
51,46,1.108695652173913
61,1,61.0
61,6,10.166666666666666
61,11,5.545454545454546
61,16,3.8125
61,21,2.9047619047619047
61,26,2.3461538461538463
61,31,1.967741935483871
61,36,1.6944444444444444
61,41,1.4878048780487805
61,46,1.326086956521739
71,1,71.0
71,6,11.833333333333334
71,11,6.454545454545454
71,16,4.4375
71,21,3.380952380952381
71,26,2.730769230769231
71,31,2.2903225806451615
71,36,1.9722222222222223
71,41,1.7317073170731707
71,46,1.5434782608695652
81,1,81.0
81,6,13.5
81,11,7.363636363636363
81,16,5.0625
81,21,3.857142857142857
81,26,3.1153846153846154
81,31,2.6129032258064515
81,36,2.25
81,41,1.975609756097561
81,46,1.7608695652173914
91,1,91.0
91,6,15.166666666666666
91,11,8.272727272727273
91,16,5.6875
91,21,4.333333333333333
91,26,3.5
91,31,2.935483870967742
91,36,2.5277777777777777
91,41,2.2195121951219514
91,46,1.9782608695652173
