Rate,Senders,Share
2.0,1,2.0
2.0,2,1.0
2.0,3,0.6666666666666666
2.0,4,0.5
2.0,5,0.4
2.0,6,0.3333333333333333
2.0,7,0.2857142857142857
2.0,8,0.25
2.0,9,0.2222222222222222
2.0,10,0.2
2.0,11,0.18181818181818182
2.0,12,0.16666666666666666
2.0,13,0.15384615384615385
2.0,14,0.14285714285714285
2.0,15,0.13333333333333333
2.5,1,2.5
2.5,2,1.25
2.5,3,0.8333333333333334
2.5,4,0.625
2.5,5,0.5
2.5,6,0.4166666666666667
2.5,7,0.35714285714285715
2.5,8,0.3125
2.5,9,0.2777777777777778
2.5,10,0.25
2.5,11,0.22727272727272727
2.5,12,0.20833333333333334
2.5,13,0.19230769230769232
2.5,14,0.17857142857142858
2.5,15,0.16666666666666666
3.0,1,3.0
3.0,2,1.5
3.0,3,1.0
3.0,4,0.75
3.0,5,0.6
3.0,6,0.5
3.0,7,0.42857142857142855
3.0,8,0.375
3.0,9,0.3333333333333333
3.0,10,0.3
3.0,11,0.2727272727272727
3.0,12,0.25
3.0,13,0.23076923076923078
3.0,14,0.21428571428571427
3.0,15,0.2
3.5,1,3.5
3.5,2,1.75
3.5,3,1.1666666666666667
3.5,4,0.875
3.5,5,0.7
3.5,6,0.5833333333333334
3.5,7,0.5
3.5,8,0.4375
3.5,9,0.3888888888888889
3.5,10,0.35
3.5,11,0.3181818181818182
3.5,12,0.2916666666666667
3.5,13,0.2692307692307692
3.5,14,0.25
3.5,15,0.23333333333333334
4.0,1,4.0
4.0,2,2.0
4.0,3,1.3333333333333333
4.0,4,1.0
4.0,5,0.8
4.0,6,0.6666666666666666
4.0,7,0.5714285714285714
4.0,8,0.5
4.0,9,0.4444444444444444
4.0,10,0.4
4.0,11,0.36363636363636365
4.0,12,0.3333333333333333
4.0,13,0.3076923076923077
4.0,14,0.2857142857142857
4.0,15,0.26666666666666666
